name,youtubeid,start,end,level,beatcount,x,teachers,comments
slide drag dig,mLkkUDXE65Y,00:02:20,00:02:26,level 2,8 counts,,Jesse Hanus and Mike Thibault,no coment yet
tandem - Side by Side Skates,gnfTt8eqHgQ,00:00:34,00:00:47,level 2,8 counts,,Ali Taghavi and Katja Uckermann http://www.swingstep.com and http://www.aliandkatja.com/,no coment yet
scissor kicks,Hk3ICwPsgbU,00:00:48,00:00:54,level 2,8 counts,,Patrick Szmidt and Natasha Ouimet,no coment yet
peel away,XsV7uIbozNA,00:01:14,00:01:19,level 2,8 counts,,Ann Mony and Manu Smith,no coment yet
pass by,YIiYOJWo87o,00:00:07,00:00:14,level 1,6 counts,,Jo Hoffberg and Kevin St. Laurent,no coment yet
mini dip,WWBWpZQ8ixs,00:02:32,00:02:39,level 1,8 counts,,Simon and Natasya http://www.theswingstation.co.nz,no coment yet
jump out,mLkkUDXE65Y,00:01:53,00:02:00,level 1,8 counts,,Jesse Hanus and Mike Thibault,no coment yet
johnnys drop,QRb9mO9DTY0,00:00:26,00:00:30,level 1,8 counts,,,no coment yet
down the line,mLkkUDXE65Y,0:01:03,00:01:14,level 2,8 counts,,Jesse Hanus and Mike Thibault,no coment yet
final step,mLkkUDXE65Y,00:02:59,00:03:05,level 2,8 counts,,Jesse Hanus and Mike Thibault,no coment yet
the hawk,9KtXIEEfwgs,00:00:33,00:00:40,level 2,10 counts,,Lucy Falkner & Eric Shaw http://www.rhythmcity.ca,no coment yet
the slingshot,9KtXIEEfwgs,00:00:46,00:00:54,level 2,8 counts,,Lucy Falkner & Eric Shaw http://www.rhythmcity.ca,no coment yet
eric's 10 counts move,9KtXIEEfwgs,00:00:58,00:01:03,level 2,10 counts,,Lucy Falkner & Eric Shaw http://www.rhythmcity.ca,no coment yet
getting into front to front 20s Charleston,2A-m9l6yUiw,00:00:28,00:00:45,level 2,8 counts,,Ann Mony and Nicole Frydman,no coment yet
hacksaw from 20s charleston,2A-m9l6yUiw,00:01:37,00:01:52,level 2,8 counts,,Ann Mony and Nicole Frydman,no coment yet
